CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas;CnpjValido;ValorValido;RazaoSocialValida
352543;OPERADORA_NAO_IDENTIFICADA;;4;2024;1706264488.66;false;true;true
364860;OPERADORA_NAO_IDENTIFICADA;;4;2024;2156421912.79;false;true;true
342131;OPERADORA_NAO_IDENTIFICADA;;4;2024;677124069.42;false;true;true
342033;OPERADORA_NAO_IDENTIFICADA;;4;2024;7737701299.63;false;true;true
321931;OPERADORA_NAO_IDENTIFICADA;;4;2024;2444898521.60;false;true;true
421464;OPERADORA_NAO_IDENTIFICADA;;4;2024;9016827.79;false;true;true
420239;OPERADORA_NAO_IDENTIFICADA;;4;2024;6294728.30;false;true;true
415774;OPERADORA_NAO_IDENTIFICADA;;4;2024;1707003392.89;false;true;true
423874;OPERADORA_NAO_IDENTIFICADA;;4;2024;2635441.28;false;true;true
349712;OPERADORA_NAO_IDENTIFICADA;;4;2024;3541710317.56;false;true;true
000477;OPERADORA_NAO_IDENTIFICADA;;4;2024;13467871067.72;false;true;true
419061;OPERADORA_NAO_IDENTIFICADA;;4;2024;1906684.48;false;true;true
347302;OPERADORA_NAO_IDENTIFICADA;;4;2024;17092374.91;false;true;true
406414;OPERADORA_NAO_IDENTIFICADA;;4;2024;47777193.83;false;true;true
419991;OPERADORA_NAO_IDENTIFICADA;;4;2024;354668.24;false;true;true
423271;OPERADORA_NAO_IDENTIFICADA;;4;2024;89962426.48;false;true;true
337374;OPERADORA_NAO_IDENTIFICADA;;4;2024;2579028173.13;false;true;true
366340;OPERADORA_NAO_IDENTIFICADA;;4;2024;721462750.62;false;true;true
303356;OPERADORA_NAO_IDENTIFICADA;;4;2024;6157001002.82;false;true;true
411809;OPERADORA_NAO_IDENTIFICADA;;4;2024;125188058.67;false;true;true
301647;OPERADORA_NAO_IDENTIFICADA;;4;2024;8880657.66;false;true;true
423173;OPERADORA_NAO_IDENTIFICADA;;4;2024;2434872560.13;false;true;true
422941;OPERADORA_NAO_IDENTIFICADA;;4;2024;23204659.12;false;true;true
352314;OPERADORA_NAO_IDENTIFICADA;;4;2024;806774164.66;false;true;true
326305;OPERADORA_NAO_IDENTIFICADA;;4;2024;215480479608.59;false;true;true
343919;OPERADORA_NAO_IDENTIFICADA;;4;2024;12541448.69;false;true;true
362824;OPERADORA_NAO_IDENTIFICADA;;4;2024;8534466.31;false;true;true
303739;OPERADORA_NAO_IDENTIFICADA;;4;2024;1860219578.38;false;true;true
418439;OPERADORA_NAO_IDENTIFICADA;;4;2024;32804609.36;false;true;true
405582;OPERADORA_NAO_IDENTIFICADA;;4;2024;1843383.68;false;true;true
360414;OPERADORA_NAO_IDENTIFICADA;;4;2024;558442265.06;false;true;true
343064;OPERADORA_NAO_IDENTIFICADA;;4;2024;705077506.58;false;true;true
423645;OPERADORA_NAO_IDENTIFICADA;;4;2024;32837148.96;false;true;true
418030;OPERADORA_NAO_IDENTIFICADA;;4;2024;28372743.12;false;true;true
422878;OPERADORA_NAO_IDENTIFICADA;;4;2024;4977749.50;false;true;true
346659;OPERADORA_NAO_IDENTIFICADA;;4;2024;69100138916.58;false;true;true
386596;OPERADORA_NAO_IDENTIFICADA;;4;2024;1202084962.54;false;true;true
306762;OPERADORA_NAO_IDENTIFICADA;;4;2024;1865586300.60;false;true;true
417955;OPERADORA_NAO_IDENTIFICADA;;4;2024;654342759.63;false;true;true
417581;OPERADORA_NAO_IDENTIFICADA;;4;2024;89570608.82;false;true;true
421847;OPERADORA_NAO_IDENTIFICADA;;4;2024;8;false;true;true
402010;OPERADORA_NAO_IDENTIFICADA;;4;2024;23391936.48;false;true;true
419281;OPERADORA_NAO_IDENTIFICADA;;4;2024;405484391.09;false;true;true
324159;OPERADORA_NAO_IDENTIFICADA;;4;2024;678958641.56;false;true;true
418960;OPERADORA_NAO_IDENTIFICADA;;4;2024;335654931.46;false;true;true
401463;OPERADORA_NAO_IDENTIFICADA;;4;2024;18081423.04;false;true;true
420085;OPERADORA_NAO_IDENTIFICADA;;4;2024;200550414.88;false;true;true
349011;OPERADORA_NAO_IDENTIFICADA;;4;2024;31204225.60;false;true;true
353027;OPERADORA_NAO_IDENTIFICADA;;4;2024;905074040.30;false;true;true
320706;OPERADORA_NAO_IDENTIFICADA;;4;2024;4120612910.11;false;true;true
423327;OPERADORA_NAO_IDENTIFICADA;;4;2024;289785.52;false;true;true
326861;OPERADORA_NAO_IDENTIFICADA;;4;2024;3527925814.22;false;true;true
419818;OPERADORA_NAO_IDENTIFICADA;;4;2024;17990834.08;false;true;true
363855;OPERADORA_NAO_IDENTIFICADA;;4;2024;835774893.50;false;true;true
423262;OPERADORA_NAO_IDENTIFICADA;;4;2024;46493912.24;false;true;true
421146;OPERADORA_NAO_IDENTIFICADA;;4;2024;5350105.52;false;true;true
418161;OPERADORA_NAO_IDENTIFICADA;;4;2024;486201.12;false;true;true
342386;OPERADORA_NAO_IDENTIFICADA;;4;2024;479039908.74;false;true;true
358754;OPERADORA_NAO_IDENTIFICADA;;4;2024;778543598.41;false;true;true
325031;OPERADORA_NAO_IDENTIFICADA;;4;2024;751850442.74;false;true;true
322326;OPERADORA_NAO_IDENTIFICADA;;4;2024;920841101.92;false;true;true
371254;OPERADORA_NAO_IDENTIFICADA;;4;2024;8053557358.60;false;true;true
319180;OPERADORA_NAO_IDENTIFICADA;;4;2024;509526799.69;false;true;true
347655;OPERADORA_NAO_IDENTIFICADA;;4;2024;2034211245.25;false;true;true
335541;OPERADORA_NAO_IDENTIFICADA;;4;2024;698831458.86;false;true;true
424005;OPERADORA_NAO_IDENTIFICADA;;4;2024;8;false;true;true
304123;OPERADORA_NAO_IDENTIFICADA;;4;2024;834646515.94;false;true;true
410110;OPERADORA_NAO_IDENTIFICADA;;4;2024;510791947.79;false;true;true
414930;OPERADORA_NAO_IDENTIFICADA;;4;2024;820050744.29;false;true;true
345091;OPERADORA_NAO_IDENTIFICADA;;4;2024;964564258.19;false;true;true
348244;OPERADORA_NAO_IDENTIFICADA;;4;2024;1017956206.55;false;true;true
314668;OPERADORA_NAO_IDENTIFICADA;;4;2024;1938055678.28;false;true;true
418196;OPERADORA_NAO_IDENTIFICADA;;4;2024;382588.16;false;true;true
353892;OPERADORA_NAO_IDENTIFICADA;;4;2024;4672547.36;false;true;true
418986;OPERADORA_NAO_IDENTIFICADA;;4;2024;151074331.68;false;true;true
402206;OPERADORA_NAO_IDENTIFICADA;;4;2024;226766242.76;false;true;true
312592;OPERADORA_NAO_IDENTIFICADA;;4;2024;1258349022.33;false;true;true
424269;OPERADORA_NAO_IDENTIFICADA;;4;2024;67200;false;true;true
343765;OPERADORA_NAO_IDENTIFICADA;;4;2024;265512015.21;false;true;true
416410;OPERADORA_NAO_IDENTIFICADA;;4;2024;2949371.36;false;true;true
420786;OPERADORA_NAO_IDENTIFICADA;;4;2024;287427873.80;false;true;true
312363;OPERADORA_NAO_IDENTIFICADA;;4;2024;33894322870.02;false;true;true
423998;OPERADORA_NAO_IDENTIFICADA;;4;2024;8;false;true;true
421375;OPERADORA_NAO_IDENTIFICADA;;4;2024;1048855.92;false;true;true
423491;OPERADORA_NAO_IDENTIFICADA;;4;2024;183391.44;false;true;true
316148;OPERADORA_NAO_IDENTIFICADA;;4;2024;1666951182.17;false;true;true
413941;OPERADORA_NAO_IDENTIFICADA;;4;2024;92546954.24;false;true;true
349682;OPERADORA_NAO_IDENTIFICADA;;4;2024;2837970843.69;false;true;true
336467;OPERADORA_NAO_IDENTIFICADA;;4;2024;188872183.90;false;true;true
416193;OPERADORA_NAO_IDENTIFICADA;;4;2024;21577749.76;false;true;true
382540;OPERADORA_NAO_IDENTIFICADA;;4;2024;3396474385.22;false;true;true
417289;OPERADORA_NAO_IDENTIFICADA;;4;2024;1929868832.78;false;true;true
